12101001,A
12101002,A
12101003,D
12101004,A
12101005,A
12101006,A
12101007,B
12101008,A
12101009,A
12101010,B
12101011,C
22101012,F
22101013,F
22101014,F
22101015,T
22101016,F
22101017,T
22101018,F
22101019,F
12101020,B
12101021,C
12102001,C
12102002,B
12102003,A
12102004,B
12102005,D
12102006,C
22102007,F
22102008,T
22102009,F
22102010,F
12103001,B
12103002,B
12103003,D
12103004,C
12103005,A
12103006,D
22103007,F
22103008,F
22103009,F
22103010,T
22103011,T
12104001,C
12104002,B
12104003,C
12104004,A
12104005,C
12104006,B
12104007,C
12104008,C
22104009,F
22104010,T
22104011,F
12105001,D
12105002,A
12105003,D
12105004,A
12105005,A
12105006,B
12105007,D
12105008,C
12105009,A
12105010,B
12105011,B
12105012,D
12105013,B
12105014,C
22105015,F
22105016,T
22105017,T
12105018,A
12106001,D
12106002,B
22106003,F
22106004,T
22106005,F
22106006,F
22106007,F
22106008,F
12107001,A
12107002,A
12107003,C
12107004,D
12107005,D
12107006,D
12107007,C
12107008,D
12107009,C
12107010,D
12107011,C
12107012,C
22107013,T
22107014,F
22107015,F
12108001,B
12108002,B
12108003,C
12108004,D
12108005,B
12108006,D
12108007,B
12108008,C
12108009,C
22108010,F
22108011,F
22108012,F
12109001,C
12109002,C
12109003,A
12109004,B
12109005,C
12109006,A
12109007,C
12109008,A
12109009,A
12109010,B
12109011,C
12109012,D
12109013,B
12109014,A
12109015,A
12109016,A
12109017,B
12109018,B
12109019,D
12109020,D
12109021,A
12109022,D
12109023,A
12109024,C
12109025,D
12109026,A
12109027,C
22109028,F
22109029,F
22109030,F
22109031,F
22109032,T
22109033,F
22109034,F
12110001,B
12110002,D
12110003,D
12110004,C
12110005,D
12110006,B
12110007,A
12110008,D
12110009,D
12110010,D
12110011,C
12110012,A
12110013,C
12110014,C
12110015,C
12110016,B
12110017,C
12110018,B
12110019,C
12110020,C
12110021,B
12110022,A
12110023,A
12110024,B
12110025,D
22110026,T
22110027,F
22110028,T
22110029,F
22110030,F
22110031,T
22110032,F
22110033,T
22110034,F
22110035,T
22110036,F
12111001,B
12111002,A
12111003,D
12111004,C
12111005,B
12111006,A
12111007,D
12111008,A
12111009,A
12111010,C
12111011,A
12111012,C
12111013,D
12111014,A
12111015,A
12111016,A
22111017,F
22111018,F
22111019,T
22111020,T
22111021,F
22111022,F
22111023,F
12112001,A
12112002,B
12112003,C
12112004,A
12112005,B
12112006,D
12112007,D
12112008,C
12112009,A
12112010,B
12112011,C
12112012,B
12112013,C
12112014,C
12112015,D
12112016,C
12112017,A
12112018,D
12113001,B
12113002,A
12113003,D
12113004,D
12113005,B
12113006,B
12113007,A
12113008,C
12113009,A
12113010,B
12113011,B
12113012,D
12113013,C
22113014,F
22113015,T
22113016,T
22113017,T
22113018,F
22113019,F
12114001,D
12114002,D
12114003,B
12114004,B
12114005,D
12114006,D
12114007,D
12114008,B
12114009,D
