1,505,20201001,第505题	试题编号：20201001,飞机背台飞行，当航向改变时电台磁方位和飞机磁方位一定发生变化。,T,F,,,F,
2,506,10201002,第506题	试题编号：10201002,地球表面上任何一点的经线指向(),纬线指向()。,该点南北方向,该点东西方向,该点北方向,该点西方向,该点东西方向,该点南北方向,该点南方向,该点西方向,A,
3,507,10201003,第507题	试题编号：10201003,地球形体是()。,一个正球体,一个南北扁平,东西膨大的旋转椭球体,东西扁平,南北稍鼓的球体,形状不规则的球体,B,
4,508,10201004,第508题	试题编号：10201004,某一纬线的纬度是()。,该纬线上任一点到地心的连线与赤道面的夹角,地图上该纬线所指的方向,该纬线同赤道面的夹角,该纬线同经线的夹角,A,
5,509,10201005,第509题	试题编号：10201005,某一经线的经度是()。,该经线所在平面和0度经线平面的夹角,两条经线所夹的角度,该经线同赤道的夹角,地图上该经线所标的度数,A,
6,510,10201006,第510题	试题编号：10201006,1NM相当于()。,1.852km或1.15SM,1.15km或1.85SM,1.15km或0.54SM,0.54km或0.87SM,A,
7,511,10201007,第511题	试题编号：10201007,1m相当于()。,3ft,0.305ft,1.852ft,3.28ft,D,
8,512,10201008,第512题	试题编号：10201008,在地球表面纬度差1分所对的弧长是()。,1km,1NM,1SM,2km,B,
9,513,10201009,第513题	试题编号：10201009,磁差是()。,磁罗盘的误差,磁经线同罗经线的夹角,罗经线同真经线的夹角,磁经线北端偏离真经线北端的角度,D,
10,514,10201010,第514题	试题编号：10201010,航图上的等磁差线是指()。,磁经线,地球磁场的磁力线,磁差相等的各地点的连线,航迹各点连线,C,
11,515,20201011,第515题	试题编号：20201011,领航上常常将地球视为一个两极稍扁赤道略鼓的椭球体。,T,F,,,F,
12,516,20201012,第516题	试题编号：20201012,利用经纬度定位的方法是相对定位法。,T,F,,,F,
13,517,20201013,第517题	试题编号：20201013,磁经线北端偏离真经线北段,偏西为负磁差,偏东为正磁差。,T,F,,,T,
14,518,20201014,第518题	试题编号：20201014,罗经线北端偏离磁经线北段,偏西为负罗差,偏东为正罗差。,T,F,,,T,
15,519,10202001,第519题	试题编号：10202001,航图上的等高线是指()相同点的连线。,经度,纬度,磁差,标高,D,
16,520,10202002,第520题	试题编号：10202002,一般航空地图常用比例尺形式采用()。,面积比例尺,角度比例,高度比例尺,数字比例尺,D,
17,521,10202003,第521题	试题编号：10202003,等角正割圆锥投影图的纬线是(),直线,曲线,不同心的圆弧,以圆锥顶点为圆心的圆弧,D,
18,522,10202004,第522题	试题编号：10202004,1:500万航图,图上长1cm,相当于地面长()。,0.5km,5km,50km,500km,C,
19,523,10202005,第523题	试题编号：10202005,百万分之一世界航图的图幅范围是()。,纬度0-60°N,0-60°S范围内,纬度差4°,经度差6°,纬度差4°,经度差6°,纬度差6°,经度差4°,纬度差4°,经度差12°,A,
20,524,10202006,第524题	试题编号：10202006,航空地图上的地形是用()表示的。,等高线、分层着色和标高点,等压线,实际地物形状,等磁力线,A,
21,525,10202007,第525题	试题编号：10202007,在等角正圆柱投影图上,存在着()。,角度失真、长度失真,角度失真、面积失真,长度失真、面积失真,长度失真、面积失真、角度失真,C,
22,526,10202008,第526题	试题编号：10202008,大圆航线在()航图上为直线。,墨卡托投影,高斯一克吕格投影,极地方位投影,修正多圆锥投影,C,
23,527,10202009,第527题	试题编号：10202009,等角航线在()航图上为直线。,墨卡托投影,横墨卡托投影,修正多圆锥投影,球心方位投影,A,
24,528,10202010,第528题	试题编号：10202010,已知某地地理坐标E125°57′40″/N44°00′20″,该地所在百万分之一地形图的编号()。,M-49,M-51,L-51,L-49,C,
25,529,10202011,第529题	试题编号：10202011,已知某地地理坐标E125°57′40″/N44°00′20″,该地所在五十万分之一地形图的编号()。,M-49—D,M-50—D,L-51—D,L-49-D,C,
26,530,20202012,第530题	试题编号：20202012,大比例尺地图包含的地面范围大,地物描述详尽。,T,F,,,F,
27,531,20202013,第531题	试题编号：20202013,大比例尺地图包含的地面范围小,地物描述简略。,T,F,,,F,
28,532,20202014,第532题	试题编号：20202014,极地方位投影图上大圆航线为直线。,T,F,,,T,
29,533,20202015,第533题	试题编号：20202015,飞机远程飞行时通常选择大比例尺航图。,T,F,,,F,
